------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:59PM on December 28, 2018
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.97324441059e+24 34216026218.0 26623910437.0 9.81863493384
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.20875185901 6.15234155125 1.88993805916 -0.252810390866 -2.6824947171 8.04177729086
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
    160   -3.2657268737    0.9032263093   -1.4444260204   -6.1702997243    1.8883579942   -2.6322336090
    161   -3.2706395713    0.9031856655   -1.4449290320   -6.1705385574    1.8883678083   -2.6325457898
    162   -3.2755516591    0.9031444721   -1.4454428825   -6.1707744420    1.8883775012   -2.6328541165
    163   -3.2804631182    0.9031029544   -1.4459674996   -6.1710074323    1.8883870752   -2.6331586601
    164   -3.2853740287    0.9030612316   -1.4465029092   -6.1712375813    1.8883965324   -2.6334594897
    165   -3.2902843637    0.9030195142   -1.4470490579   -6.1714649405    1.8884058750   -2.6337566729
    166   -3.2951942097    0.9029779414   -1.4476059907   -6.1716895605    1.8884151050   -2.6340502756
    167   -3.3001035332    0.9029367043   -1.4481736304   -6.1719114904    1.8884242245   -2.6343403621
    168   -3.3050123626    0.9028959357   -1.4487519563   -6.1721307783    1.8884332354   -2.6346269951
    169   -3.3099207072    0.9028558177   -1.4493409473   -6.1723474711    1.8884421397   -2.6349102361
    170   -3.3148285955    0.9028164769   -1.4499405921   -6.1725616146    1.8884509392   -2.6351901448
    171   -3.3197360271    0.9027780805   -1.4505508524   -6.1727732534    1.8884596358   -2.6354667797
    172   -3.3246430105    0.9027407675   -1.4511716870   -6.1729824314    1.8884682313   -2.6357401980
    173   -3.3295495734    0.9027046644   -1.4518030942   -6.1731891911    1.8884767274   -2.6360104553
    174   -3.3344556919    0.9026699266   -1.4524450013   -6.1733935742    1.8884851259   -2.6362776062
    175   -3.3393613785    0.9026366948   -1.4530974003   -6.1735956216    1.8884934284   -2.6365417040
    176   -3.3442666297    0.9026050996   -1.4537602399   -6.1737953729    1.8885016365   -2.6368028007
    177   -3.3491714569    0.9025752683   -1.4544334976   -6.1739928672    1.8885097519   -2.6370609471
    178   -3.3540758556    0.9025473312   -1.4551171174   -6.1741881424    1.8885177761   -2.6373161930
    179   -3.3589798284    0.9025213951   -1.4558110703   -6.1743812358    1.8885257106   -2.6375685870
    180   -3.3638833551    0.9024975855   -1.4565153103   -6.1745721837    1.8885335570   -2.6378181766
    181   -3.3687864424    0.9024760223   -1.4572297979   -6.1747610217    1.8885413167   -2.6380650083
    182   -3.3736890982    0.9024568412   -1.4579544907   -6.1749477846    1.8885489911   -2.6383091276
    183   -3.3785913074    0.9024401315   -1.4586893666   -6.1751325063    1.8885565816   -2.6385505789
    184   -3.3834930455    0.9024260161   -1.4594343293   -6.1753152201    1.8885640896   -2.6387894057
    185   -3.3883942985    0.9024146011   -1.4601893419   -6.1754959587    1.8885715165   -2.6390256507
    186   -3.3932950939    0.9024059905   -1.4609544118   -6.1756747539    1.8885788635   -2.6392593553
    187   -3.3981953959    0.9024002855   -1.4617294328   -6.1758516368    1.8885861319   -2.6394905605
    188   -3.4030952016    0.9023975931   -1.4625143955   -6.1760266380    1.8885933230   -2.6397193060
    189   -3.4079944942    0.9023980081   -1.4633092411   -6.1761997873    1.8886004380   -2.6399456309
    190   -3.4128932571    0.9024016212   -1.4641139031   -6.1763711140    1.8886074782   -2.6401695735
    191   -3.4177914943    0.9024085305   -1.4649283591   -6.1765406467    1.8886144445   -2.6403911711
    192   -3.4226891620    0.9024188370   -1.4657525264   -6.1767084134    1.8886213384   -2.6406104604
    193   -3.4275862623    0.9024326214   -1.4665863897   -6.1768744416    1.8886281608   -2.6408274772
